
============================================================
[2026-01-22T08:15:56.767713] Starting download for task 122
Command: /usr/bin/python3 main.py -c https://samsungu.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/ -b BXkdOY7L4dK19hrNj1GnplHFHoMbkXpiLlSn9dcU -o Staging_Download/Task_122 -q 720 --download-captions --download-assets --download-quizzes --concurrent-downloads 10 --continue-lecture-numbers
============================================================

============================================================
[LOGGING MODULE] Starting download process
============================================================
[08:15:57] [udemy-downloader] [pre_run:394] INFO: Output directory set to /root/project/server/udemy_dl/Staging_Download/Task_122
[08:15:57] [udemy-downloader] [pre_run:404] WARNING: > Keyfile not found! You won't be able to decrypt any encrypted videos!
[08:15:58] [udemy-downloader] [visit:1203] INFO: Visit request successful
[08:15:58] [udemy-downloader] [main:2044] INFO: > Fetching course information, this may take a minute...
[08:15:59] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 2/2
[08:16:01] [udemy-downloader] [main:2047] INFO: > Course information retrieved!
[08:16:01] [udemy-downloader] [main:2052] INFO: > Fetching course curriculum, this may take a minute...
[08:16:15] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 2/3
[08:16:28] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 3/3
[08:16:33] [udemy-downloader] [main:2076] INFO: > Course curriculum retrieved!
[08:16:33] [udemy-downloader] [main:2107] INFO: > Processing course data, this may take a minute. 
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 2 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 3 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 4 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 5 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 6 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 7 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 8 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 10 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 11 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 12 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 13 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 14 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 15 of 216
[08:16:33] [udemy-downloader] [main:2187] INFO: Processing 16 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 18 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 19 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 20 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 21 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 22 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 23 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 24 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 25 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 26 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 27 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 28 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 29 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 30 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 31 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 32 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 33 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 34 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 35 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 36 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 37 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 38 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 39 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 40 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 41 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 42 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 43 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 44 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 45 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 46 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 47 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 48 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 49 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 50 of 216
[08:16:33] [udemy-downloader] [main:2151] INFO: Processing 51 of 216
