
============================================================
[2026-01-19T14:50:23.231700] Starting download for task 88
Command: /usr/bin/python3 main.py -c https://samsungu.udemy.com/course/khoa-hoc-ngu-phap-tieng-nhat-minna-no-nihongo-n5/ -b BXkdOY7L4dK19hrNj1GnplHFHoMbkXpiLlSn9dcU -o Staging_Download/Task_88 -q 720 --download-captions --download-assets --download-quizzes --concurrent-downloads 10 --continue-lecture-numbers
============================================================

============================================================
[LOGGING MODULE] Starting download process
============================================================
[02:50:24] [udemy-downloader] [pre_run:394] INFO: Output directory set to /root/project/server/udemy_dl/Staging_Download/Task_88
[02:50:24] [udemy-downloader] [pre_run:404] WARNING: > Keyfile not found! You won't be able to decrypt any encrypted videos!
[02:50:24] [udemy-downloader] [visit:1203] INFO: Visit request successful
[02:50:24] [udemy-downloader] [main:2044] INFO: > Fetching course information, this may take a minute...
[02:50:25] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 2/2
[02:50:26] [udemy-downloader] [main:2047] INFO: > Course information retrieved!
[02:50:26] [udemy-downloader] [main:2052] INFO: > Fetching course curriculum, this may take a minute...
[02:50:34] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 2/2
[02:50:39] [udemy-downloader] [main:2076] INFO: > Course curriculum retrieved!
[02:50:39] [udemy-downloader] [main:2107] INFO: > Processing course data, this may take a minute. 
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 2 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 4 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 5 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 6 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 7 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 9 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 10 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 11 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 12 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 13 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 15 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 16 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 17 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 19 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 20 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 21 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 22 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 23 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 24 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 26 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 27 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 28 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 29 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 30 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 32 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 33 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 34 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 35 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 36 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 38 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 39 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 40 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 41 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 42 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 43 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 45 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 46 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 47 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 48 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 49 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 50 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 51 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 53 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 54 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 55 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 56 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 57 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 58 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 60 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 61 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 62 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 63 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 64 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 66 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 67 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 68 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 69 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 70 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 71 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 72 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 74 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 75 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 76 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 77 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 78 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 79 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 80 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 81 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 83 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 84 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 85 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 86 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 87 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 88 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 89 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 91 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 92 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 93 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 94 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 95 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 96 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 98 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 99 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 100 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 101 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 102 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 103 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 104 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 105 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 106 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 108 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 109 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 110 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 111 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 112 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 113 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 114 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 115 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 116 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 118 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 119 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 120 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 121 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 122 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 123 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 124 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 126 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 127 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 128 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 129 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 130 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 131 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 132 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 133 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 135 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 136 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 137 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 138 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 139 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 140 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 141 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 142 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 143 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 145 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 146 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 147 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 148 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 149 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 150 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 151 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 152 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 153 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 154 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 155 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 156 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 157 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 159 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 160 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 161 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 162 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 163 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 164 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 165 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 166 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 167 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 169 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 170 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 171 of 172
[02:50:39] [udemy-downloader] [main:2151] INFO: Processing 172 of 172
[02:50:39] [udemy-downloader] [parse_new:1731] INFO: Chapter(s) (23)
[02:50:39] [udemy-downloader] [parse_new:1732] INFO: Lecture(s) (149)
