
============================================================
[2026-01-19T14:52:49.600365] Starting download for task 90
Command: /usr/bin/python3 main.py -c https://samsungu.udemy.com/course/hoc-chu-cai-tieng-nhat-cho-nguoi-moi/ -b BXkdOY7L4dK19hrNj1GnplHFHoMbkXpiLlSn9dcU -o Staging_Download/Task_90 -q 720 --download-captions --download-assets --download-quizzes --concurrent-downloads 10 --continue-lecture-numbers
============================================================

============================================================
[LOGGING MODULE] Starting download process
============================================================
[02:52:50] [udemy-downloader] [pre_run:394] INFO: Output directory set to /root/project/server/udemy_dl/Staging_Download/Task_90
[02:52:50] [udemy-downloader] [pre_run:404] WARNING: > Keyfile not found! You won't be able to decrypt any encrypted videos!
[02:52:50] [udemy-downloader] [visit:1203] INFO: Visit request successful
[02:52:50] [udemy-downloader] [main:2044] INFO: > Fetching course information, this may take a minute...
[02:52:52] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 2/2
[02:52:53] [udemy-downloader] [main:2047] INFO: > Course information retrieved!
[02:52:53] [udemy-downloader] [main:2052] INFO: > Fetching course curriculum, this may take a minute...
[02:52:59] [udemy-downloader] [_handle_pagination:914] INFO: > Downloading data page 2/2
[02:53:03] [udemy-downloader] [main:2076] INFO: > Course curriculum retrieved!
[02:53:03] [udemy-downloader] [main:2107] INFO: > Processing course data, this may take a minute. 
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 2 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 4 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 5 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 6 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 7 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 8 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 9 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 10 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 11 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 12 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 13 of 144
[02:53:03] [udemy-downloader] [main:2151] INFO: Processing 14 of 144
